claim_id,report,location,claim_class,claim,source,access_level,independent_tier,verdict,severity,transferability,corrected_wording
A-CLAUSE-0284,Antigravity review,Question 3; L284,published finding,"A **""Hard Set""**—defined as a set performed with high effort within 0 to 2 (at most 3) repetitions in reserve (RIR $\le 2$, RPE $\ge 8$)—represents the true fundamental quantum of hypertrophic training volume [Tier A; Baz-Valle et al. 2021, PMID: 30063555; Tier A; Robinson et al. 2024, PMID: 38970765, DOI: 10.1007/s40279-024-02069-2].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0287,Antigravity review,Question 3; L287,inference/system fact,+-----------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0288,Antigravity review,Question 3; L288,inference/system fact,|                           THE VOLUME-LOAD FALLACY                                 |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0289,Antigravity review,Question 3; L289,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0290,Antigravity review,Question 3; L290,inference/system fact,"|  Protocol A (High Load): 3 sets x 8 reps @ 100 kg (80% 1RM, ~1 RIR)               |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0291,Antigravity review,Question 3; L291,inference/system fact,"|  --> Volume-Load = 3 x 8 x 100 = 2,400 kg                                         |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0292,Antigravity review,Question 3; L292,inference/system fact,|  --> Physiological Stimulus: Full Motor Unit Recruitment + High Tension           |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0293,Antigravity review,Question 3; L293,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0294,Antigravity review,Question 3; L294,inference/system fact,"|  Protocol B (Low Load to Failure): 3 sets x 30 reps @ 40 kg (32% 1RM, 0 RIR)     |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0295,Antigravity review,Question 3; L295,inference/system fact,"|  --> Volume-Load = 3 x 30 x 40 = 3,600 kg (+50% higher Volume-Load!)              |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0296,Antigravity review,Question 3; L296,inference/system fact,|  --> Physiological Stimulus: Identical Whole-Muscle Hypertrophy                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0297,Antigravity review,Question 3; L297,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0298,Antigravity review,Question 3; L298,inference/system fact,"|  Protocol C (Equated Volume-Load): 1 set x 60 reps @ 40 kg (Equated 2,400 kg)    |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0299,Antigravity review,Question 3; L299,inference/system fact,"|  or 3 sets x 20 reps @ 40 kg (~10 RIR, stopped far from failure)                  |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0300,Antigravity review,Question 3; L300,inference/system fact,|  --> Physiological Stimulus: Severely Inferior Hypertrophy & Zero Strength Gain   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0301,Antigravity review,Question 3; L301,inference/system fact,+-----------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0308,Antigravity review,Question 3; L308,inference/system fact,1. **Hypertrophy Equivalence Under Equal Proximity to Failure:**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0309,Antigravity review,Question 3; L309,published finding,"- Systematic reviews and meta-analyses establish that across a broad loading spectrum (30% to 85% of 1RM), skeletal muscle hypertrophy is equivalent provided that sets are performed to or near volitional failure [Tier A; Schoenfeld et al. 2017, PMID: 28834797; Tier A; Lopez et al. 2021, PMID: 33433148, DOI: 10.1249/MSS.0000000000002585; Tier A; Currier et al. 2023, PMID: 37414459, DOI: 10.1136/bjsports-2023-106807].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0310,Antigravity review,Question 3; L310,published finding,"- **Morton et al. (2016)** [Tier B; PMID: 27174923, DOI: 10.1152/japplphysiol.00154.2016] ($n=49$ resistance-trained men, 12-week supervised RCT): Sets performed at 30–50% 1RM to failure (20–25 reps) vs 75–90% 1RM to failure (8–12 reps) elicited identical vastus lateralis CSA increases (+7.5% vs +7.6%, $p = 0.97$) and identical Type I/II fiber hypertrophy, despite the low-load group accumulating vastly higher total volume-load.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0311,Antigravity review,Question 3; L311,published finding,"- **Mitchell et al. (2012)** [Tier B; PMID: 22518835, DOI: 10.1152/japplphysiol.00307.2012]: 3 sets at 30% 1RM to failure elicited quadrilateral muscle hypertrophy identical to 3 sets at 80% 1RM to failure (+6.8% vs +7.2%), whereas 1 set at 80% 1RM produced roughly half the hypertrophy (+3.1%), confirming that hard set count, not volume-load, governs hypertrophy.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0312,Antigravity review,Question 3; L312,inference/system fact,2. **Divergence in Maximal 1RM Strength:**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0313,Antigravity review,Question 3; L313,published finding,"- Heavy-load training (>75–80% 1RM) elicits significantly greater 1RM strength gains than low-load training (<60% 1RM), with a moderate-to-large effect size difference ($g = 0.58$ vs $g = 0.35$, $p < 0.01$) [Tier A; Schoenfeld et al. 2017]. Maximal 1RM strength requires high-threshold neural motor unit recruitment and task-specific skill.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0314,Antigravity review,Question 3; L314,inference/system fact,3. **Proximity-to-Failure Dose-Response:**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0315,Antigravity review,Question 3; L315,published finding,"- **Robinson et al. (2024)** [Tier A; PMID: 38970765, DOI: 10.1007/s40279-024-02069-2] (55 studies, meta-regression): Hypertrophy exhibited a continuous linear relationship with proximity to failure ($p < 0.01$ per RIR decrease), while maximal strength exhibited a plateau at moderate proximity to failure (2–4 RIR).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0316,Antigravity review,Question 3; L316,published finding,"- **Refalo et al. (2023)** [Tier A; PMID: 36334240, DOI: 10.1007/s40279-022-01784-y] (15 studies): Negligible difference between momentary failure and non-failure ($g = 0.15$ [95% CI: -0.05, 0.34]), while training to absolute failure doubled neuromuscular recovery times (48–72 hours) [Tier B; Refalo et al. 2023, PMID: 36752989, DOI: 10.1186/s40798-023-00554-y].",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0317,Antigravity review,Question 3; L317,published finding,"- **Tsartsapakis et al. (2026)** [Tier A; DOI: 10.3390/jfmk11010080] (23 RCTs, $n=624$): Advanced systems (drop sets, rest-pause) vs traditional sets showed identical hypertrophy when hard sets were matched ($g = 0.046$, $p = 0.42$).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0323,Antigravity review,Question 3; L323,published finding,| Study / Source | Tier | Population Studied | Effect Size / Uncertainty | Citation (DOI / PMID) | What Goes Wrong If Wrong? |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0324,Antigravity review,Question 3; L324,inference/system fact,| :--- | :---: | :--- | :--- | :--- | :--- |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0325,Antigravity review,Question 3; L325,published finding,"| **Robinson et al. (2024)** | **A** | 55 RCTs, trained/untrained adults ($n > 1,200$) | Hypertrophy: negative linear slope ($p < 0.01$ per RIR drop); Strength: plateau at 2–4 RIR | [DOI: 10.1007/s40279-024-02069-2](https://doi.org/10.1007/s40279-024-02069-2)<br>PMID: 38970765 | App forces sets to 0 RIR, inducing severe fatigue, or stops at 6 RIR, causing zero growth. |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0326,Antigravity review,Question 3; L326,published finding,"| **Schoenfeld et al. (2017)** | **A** | 21 RCTs, healthy adults ($n = 574$) | Hypertrophy: $g = 0.03$ ($p = 0.88$); 1RM Strength: $g = 0.58$ vs $0.35$ ($p < 0.01$) favoring heavy load | [DOI: 10.1519/JSC.0000000000002200](https://doi.org/10.1519/JSC.0000000000002200)<br>PMID: 28834797 | Equating volume-load leads to prescribing low loads for 1RM strength, causing stagnation. |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0327,Antigravity review,Question 3; L327,published finding,"| **Baz-Valle et al. (2021)** | **A** | Systematic review, 15 studies ($n = 412$) | Set count to failure ($R^2 = 0.68$) correlates with hypertrophy; volume-load ($R^2 = 0.09$) does not | [DOI: 10.1519/JSC.0000000000002776](https://doi.org/10.1519/JSC.0000000000002776)<br>PMID: 30063555 | Tracking volume-load rewards junk volume (high rep, low effort) as ""progress"". |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0328,Antigravity review,Question 3; L328,published finding,"| **Morton et al. (2016)** | **B** | 49 resistance-trained men, 12-wk RCT | Vastus lateralis CSA: +7.6% (high load) vs +7.5% (low load), $p = 0.97$; fiber growth identical | [DOI: 10.1152/japplphysiol.00154.2016](https://doi.org/10.1152/japplphysiol.00154.2016)<br>PMID: 27174923 | Dismissing low-load bodyweight sets as useless for hypertrophy in trained users. |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0329,Antigravity review,Question 3; L329,published finding,"| **Refalo et al. (2023)** | **A** | Systematic review, 15 studies ($n = 394$) | Failure vs non-failure hypertrophy: $g = 0.15$ [95% CI: -0.05, 0.34], trivial difference | [DOI: 10.1007/s40279-022-01784-y](https://doi.org/10.1007/s40279-022-01784-y)<br>PMID: 36334240 | Prescribing mandatory failure causes burnout and overuse injury without extra growth. |",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0336,Antigravity review,Question 3; L336,inference/system fact,"1. **Quantifying hypertrophic training volume exclusively by the count of completed ""Hard Sets""** (sets performed at an estimated RPE $\ge 8$ / RIR $\le 2$).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0337,Antigravity review,Question 3; L337,inference/system fact,2. **Treating sets across varying repetition ranges (5 to 30 reps) as hypertrophically equivalent** provided proximity to failure is maintained at RIR $\le 2$.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0338,Antigravity review,Question 3; L338,inference/system fact,3. **Restricting maximal 1RM strength tracking to heavy sets (>75–80% 1RM)** where mechanical load intensity is directly verified.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0339,Antigravity review,Question 3; L339,inference/system fact,4. **Discarding raw Volume-Load ($\text{Sets} \times \text{Reps} \times \text{Load}$) as an index of progression or stimulus comparison across different repetition brackets.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0342,Antigravity review,Question 3; L342,inference/system fact,"1. **Using Volume-Load to calculate ""work done"" or ""progression"" across sessions where load or rep targets change.**",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0343,Antigravity review,Question 3; L343,inference/system fact,2. **Treating a set of 20 reps at 4 RIR as equivalent to a set of 8 reps at 1 RIR based on mathematical volume-load matching.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0344,Antigravity review,Question 3; L344,inference/system fact,3. **Prescribing low-load training to failure for maximal 1RM strength progression.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0345,Antigravity review,Question 3; L345,inference/system fact,4. **Assuming unsupervised users accurately estimate continuous RIR without binary thresholding.**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0353,Antigravity review,Question 4; L353,inference/system fact,"When external load cannot be increased (bodyweight calisthenics, suspension training, isometric holds), mechanical overload is governed by four validated biomechanical and neurophysiological axes:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0354,Antigravity review,Question 4; L354,inference/system fact,1. **Biomechanical Leverage & Moment Arm Alteration (Center of Mass displacement)**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0355,Antigravity review,Question 4; L355,inference/system fact,2. **Joint Range of Motion & Muscle Length (Stretched-Position / Lengthened Partials)**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0356,Antigravity review,Question 4; L356,inference/system fact,3. **Repetition Cadence and Muscle Action Specificity**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0357,Antigravity review,Question 4; L357,inference/system fact,4. **Isometric Force Intent & Multi-Angle Exposure**,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0360,Antigravity review,Question 4; L360,inference/system fact,+-----------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0361,Antigravity review,Question 4; L361,inference/system fact,|                        NON-LOAD PROGRESSION AXES                                  |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0362,Antigravity review,Question 4; L362,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0363,Antigravity review,Question 4; L363,inference/system fact,|  1. LEVERAGE / MOMENT ARM:                                                        |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0364,Antigravity review,Question 4; L364,inference/system fact,|     Knee Push-Up (49% BW) -> Standard (64% BW) -> Feet-Elevated 60cm (74% BW)     |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0365,Antigravity review,Question 4; L365,inference/system fact,|     Tuck Planche -> Adv. Tuck -> Straddle -> Full Planche (Torque x 2.5)          |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0366,Antigravity review,Question 4; L366,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0367,Antigravity review,Question 4; L367,inference/system fact,|  2. MUSCLE LENGTH / ROM:                                                          |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0368,Antigravity review,Question 4; L368,inference/system fact,|     Standard ROM -> Deficit Push-Up / Deep Dip (Long Muscle Length Strain)        |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0369,Antigravity review,Question 4; L369,inference/system fact,|     Lengthened Partials = Equivalent Hypertrophy to Full ROM                      |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0370,Antigravity review,Question 4; L370,inference/system fact,|                                                                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0371,Antigravity review,Question 4; L371,inference/system fact,|  3. ISOMETRIC OVERLOAD:                                                           |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0372,Antigravity review,Question 4; L372,inference/system fact,|     Submaximal Time-to-Failure = Endurance only                                   |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0373,Antigravity review,Question 4; L373,inference/system fact,|     Maximal Intent / Ballistic Force (>70% MVC) = Neural Drive + Tendon Stiffness |,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0374,Antigravity review,Question 4; L374,inference/system fact,+-----------------------------------------------------------------------------------+,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0382,Antigravity review,Question 4; L382,published finding,"- **Empirical Evidence:** Ebben et al. (2011) [Tier B; PMID: 21873902, DOI: 10.1519/JSC.0b013e31820c8587] and Suprak et al. (2011) [Tier B; PMID: 20179649, DOI: 10.1519/JSC.0b013e3181bde2cf] quantified ground reaction forces during standardized push-up variations on force platforms:",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0383,Antigravity review,Question 4; L383,inference/system fact,- *Hands Elevated 60 cm (Incline):* $41.0 \pm 4.5\%$ body weight (%BW).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0384,Antigravity review,Question 4; L384,inference/system fact,- *Knee Push-Up (Modified):* $49.0 \pm 3.6\%$ %BW.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0385,Antigravity review,Question 4; L385,inference/system fact,- *Standard Push-Up (Floor):* $64.0 \pm 4.1\%$ %BW.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0386,Antigravity review,Question 4; L386,inference/system fact,- *Feet Elevated 60 cm (Decline):* $74.0 \pm 4.8\%$ %BW.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0387,Antigravity review,Question 4; L387,inference/system fact,- **Population:** Resistance-trained adult men and women ($n=23$).,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0388,Antigravity review,Question 4; L388,inference/system fact,"- **Effect Size / Uncertainty:** Load variance across variations represents an $80.5\%$ increase in relative upper-body resistance (from $41\%$ to $74\%$ BW; $p < 0.001$, $\eta_p^2 = 0.89$).",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0389,Antigravity review,Question 4; L389,inference/system fact,"- **What Goes Wrong If Wrong:** Treating all bodyweight push-ups as identical intensity overlooks an $80\%$ load differential, miscalculating stimulus progression.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0390,Antigravity review,Question 4; L390,inference/system fact,- **Transferability Risk:** Low for discrete tiers; High if attempting continuous angle interpolation without inclinometer hardware.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0393,Antigravity review,Question 4; L393,published finding,"- **Empirical Evidence:** Calatayud et al. (2015) [Tier B; PMID: 24983847, DOI: 10.1519/JSC.0000000000000589] and Kotarsky et al. (2018) [Tier A; PMID: 29466268, DOI: 10.1519/JSC.0000000000002345]: Progressive calisthenic variations utilizing biomechanical leverage tiers elicit electromyographic activation and 1RM bench press strength gains identical to barbell training when relative intensity (proximity to failure) is matched.",citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
A-CLAUSE-0394,Antigravity review,Question 4; L394,inference/system fact,- **Population:** 30 recreationally trained men (5-week RCT) and systematic review across 12 calisthenic trials.,citation/identifier as embedded in report line,source-report text only,unassigned pending source check,UNVERIFIED—FULL TEXT REQUIRED,unclassified,not assessed,Conservative extraction row; retain no factual content unless a manual/source-locator row supports it.
